DisplayName;team;position;underposition;sessionDate;sessionType;allMaxSpeed;distanceTotal;distanceZ5Abs;distanceZ6Abs;maxSpeed;totalTime;entriesZ6Abs;Saison;
JOUEUR 08;U17;Defenseur;Central Centre;11/03/2024;Match Day +2;34,6;4926,642523;3,66164592;0;6,15000492;3057,800018;0;2023 - 2024;
JOUEUR 11;U17;Defenseur;Lateral Droit;04/06/2024;Match Day -1;33,2;3997,142316;16,80367116;0;6,29722726;3056,499991;0;2023 - 2024;
JOUEUR 15;U19;Milieu;Milieu Axial;04/06/2024;Match Day -1;33,2;3866,91577;21,13254015;0;6,5972275;3056,499991;0;2023 - 2024;
JOUEUR 01;U17;Attaquant;Aillier Gauche;04/06/2024;Match Day -1;33,7;3909,49638;20,03537003;0;6,5694497;3056,499991;0;2023 - 2024;
JOUEUR 05;U19;Attaquant;Avant Centre;04/06/2024;Match Day -1;34,58;3551,541845;35,47921314;0;6,42778292;3056,499991;0;2023 - 2024;
JOUEUR 08;U17;Defenseur;Central Centre;04/06/2024;Match Day -1;34,6;4381,156218;11,95216329;0;5,99722702;3056,499991;0;2023 - 2024;
JOUEUR 13;U17;Milieu;Milieu Defensif;04/06/2024;Match Day -1;30,29;4203,349442;8,62777707;0;5,88333804;3056,499991;0;2023 - 2024;
JOUEUR 06;U19;Attaquant;Aillier Droit;05/09/2023;Match Day -4;33,9;3373,351384;6,37135204;0;6,1666716;3056,299984;0;2023 - 2024;
JOUEUR 01;U17;Attaquant;Aillier Gauche;05/09/2023;Match Day -4;33,7;3902,110157;4,01831125;0;5,9027825;3056,299984;0;2023 - 2024;
JOUEUR 04;Pro2;Attaquant;;05/09/2023;Match Day -4;36,3;3414,982382;1,12999477;0;5,71667124;3056,299984;0;2023 - 2024;
JOUEUR 07;U19;Milieu;Milieu Offensif;05/09/2023;Match Day -4;32,83;3838,610898;0,55916057;0;5,59167114;3056,299984;0;2023 - 2024;
JOUEUR 10;Pro2;Attaquant;Attaquant;12/10/2024;Match Day -1;37,37;4178,425434;63,257849;0;6,6250053;3054,499993;0;2024 - 2025;
